FID,IID,POPULATION,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10
GBR1,GBR1,GBR,0.0102,0.011,-0.0053,-0.0043,0.0183,0.0059,-0.0013,0.0103,0.0227,-0.002
GBR2,GBR2,GBR,0.01,0.0111,-0.0045,-0.0036,0.0165,0.0057,-0.0003,0.008,0.0234,-0.0299
GBR3,GBR3,GBR,0.0104,0.0112,-0.005,-0.0027,0.0215,0.0064,0.0033,0.0206,0.0249,-0.0298
GBR4,GBR4,GBR,0.0102,0.0112,-0.005,-0.0029,0.014,0.0042,0.0031,0.0139,0.0402,-0.0103
GBR5,GBR5,GBR,0.0101,0.0108,-0.0061,-0.0033,0.0164,0.0071,-0.0019,0.0119,0.0242,-0.0259
GBR6,GBR6,GBR,0.0104,0.0107,-0.0035,-0.0027,0.0234,0.006,0.0007,0.0168,0.0384,-0.0073
GBR7,GBR7,GBR,0.0104,0.0111,-0.0049,-0.0039,0.0172,0.0043,0.0004,0.011,0.0262,-0.0092
GBR8,GBR8,GBR,0.0101,0.0112,-0.0051,-0.0029,0.0172,0.0071,0.001,0.0126,0.0261,-0.015
GBR9,GBR9,GBR,0.0105,0.0109,-0.0043,-0.0029,0.0172,0.0084,-0.0023,0.0241,0.0176,-0.0328
GBR10,GBR10,GBR,0.0107,0.0109,-0.0059,-0.0031,0.0201,0.0078,0.0024,0.0074,0.0277,-0.0058
GBR11,GBR11,GBR,0.0099,0.0111,-0.0059,-0.0033,0.0195,0.0113,0.0007,0.0097,0.0137,-0.0222
GBR12,GBR12,GBR,0.0103,0.0112,-0.006,-0.005,0.0159,0.0073,0.004,0.017,0.0281,-0.002
GBR13,GBR13,GBR,0.0103,0.0105,-0.0044,-0.0037,0.0246,0.0057,-0.0007,0.0078,0.0306,0.0077
GBR14,GBR14,GBR,0.0102,0.0109,-0.0034,-0.0009,0.021,0.0078,0.0028,0.0088,0.0382,0.0126
GBR15,GBR15,GBR,0.0103,0.011,-0.0042,-0.0032,0.0182,0.0083,0.0027,0.0051,0.0249,-0.0091
GBR16,GBR16,GBR,0.0102,0.0114,-0.0051,-0.0039,0.0168,0.005,0.0003,0.0172,0.0236,-0.0307
GBR17,GBR17,GBR,0.01,0.0111,-0.0057,-0.0038,0.0197,0.0059,0.0044,0.0145,0.0233,-0.0199
GBR18,GBR18,GBR,0.0101,0.0111,-0.004,-0.0038,0.0138,0.0051,-0.0021,0.0042,0.0221,-0.0069
GBR19,GBR19,GBR,0.0104,0.0112,-0.005,-0.0037,0.0177,0.0083,-0.0013,0.0145,0.0305,-0.0073
GBR20,GBR20,GBR,0.0104,0.0112,-0.0043,-0.004,0.0205,0.0073,0,0.0065,0.0256,-0.003
GBR21,GBR21,GBR,0.0103,0.0108,-0.0052,-0.0021,0.0158,0.0067,0.0055,0.0092,0.0262,-0.006
GBR22,GBR22,GBR,0.0102,0.0109,-0.0056,-0.0038,0.0179,0.0072,0.0005,0.0096,0.0253,-0.0148
GBR23,GBR23,GBR,0.0104,0.0114,-0.0051,-0.0042,0.0227,0.0083,-0.0003,0.0194,0.0422,-0.0123
GBR24,GBR24,GBR,0.0105,0.0114,-0.0038,-0.0026,0.0243,0.0073,0.0021,0.0104,0.0248,-0.0001
GBR25,GBR25,GBR,0.0103,0.0109,-0.0058,-0.0024,0.0185,0.0068,0.001,0.0094,0.027,-0.019
GBR26,GBR26,GBR,0.01,0.011,-0.004,-0.0028,0.0194,0.0051,0.0011,0.0082,0.0228,-0.0363
GBR27,GBR27,GBR,0.0103,0.011,-0.0053,-0.0021,0.0237,0.0072,-0.002,0.0107,0.0304,-0.0112
GBR28,GBR28,GBR,0.0107,0.0119,-0.0054,-0.004,0.0163,0.0011,-0.0018,0.0155,0.0175,-0.0037
GBR29,GBR29,GBR,0.0104,0.0113,-0.0046,-0.0037,0.0108,0.0073,-0.0035,0.0157,0.0075,-0.0331
GBR30,GBR30,GBR,0.01,0.0119,-0.0039,-0.0044,0.0132,0.0079,0.0005,0.0078,0.0129,-0.037
GBR31,GBR31,GBR,0.0104,0.0111,-0.0047,-0.0026,0.0222,0.0045,-0.0004,0.0035,0.0261,0.0177
GBR32,GBR32,GBR,0.0098,0.0117,-0.0043,-0.005,0.0089,0.0006,0.0022,0.0066,0.003,-0.0267
GBR33,GBR33,GBR,0.0101,0.0114,-0.0039,-0.0044,0.0159,0.0082,0.001,0.0041,0.0287,0.0205
GBR34,GBR34,GBR,0.0104,0.0115,-0.0046,-0.0055,0.0124,0.001,-0.0032,0.0067,0.0161,-0.0192
GBR35,GBR35,GBR,0.0102,0.0114,-0.0043,-0.0035,0.013,0.0065,-0.0032,0.0131,0.0082,-0.0276
GBR36,GBR36,GBR,0.0104,0.011,-0.0049,-0.0038,0.018,0.0078,0.0052,0.0025,0.0235,-0.004
GBR37,GBR37,GBR,0.0104,0.0112,-0.0046,-0.0038,0.0172,0.0067,0.0047,0.0105,0.0372,-0.0053
GBR38,GBR38,GBR,0.01,0.0114,-0.0048,-0.0038,0.0149,0.0067,0.0051,0.0105,0.0178,-0.0065
GBR39,GBR39,GBR,0.0101,0.0114,-0.0049,-0.0036,0.0169,0.0018,-0.0013,0.0045,0.0025,-0.0251
GBR40,GBR40,GBR,0.0105,0.0107,-0.0053,-0.0033,0.0165,0.0053,0.0001,0.0084,0.0369,0.0176
GBR41,GBR41,GBR,0.0104,0.0114,-0.0043,-0.0019,0.0172,0.007,-0.0022,0.0051,0.0157,-0.0011
GBR42,GBR42,GBR,0.0101,0.0117,-0.0049,-0.0042,0.0132,0.0078,0.0028,0.007,0.0052,-0.023
GBR43,GBR43,GBR,0.01,0.0117,-0.0045,-0.0028,0.0134,0.0059,-0.0016,0.005,0.0217,0.0207
GBR44,GBR44,GBR,0.0104,0.0111,-0.0039,-0.003,0.0124,0.0088,-0.001,0.01,0.017,-0.0078
GBR45,GBR45,GBR,0.0103,0.0115,-0.0057,-0.0044,0.0128,0.0097,0.0043,0.0081,0.0248,-0.0025
GBR46,GBR46,GBR,0.0104,0.0113,-0.0047,-0.004,0.0169,0.0074,0.0046,0.0151,0.0319,0.0087
GBR47,GBR47,GBR,0.0104,0.0119,-0.0058,-0.0036,0.0149,0.0069,-0.0027,0.0058,0.0212,-0.0029
GBR48,GBR48,GBR,0.0104,0.011,-0.0052,-0.0031,0.0177,0.0091,0.0044,0.0112,0.0099,-0.0282
GBR49,GBR49,GBR,0.0104,0.0108,-0.0052,-0.0025,0.0196,0.007,0.0014,0.0025,0.0308,0.008
GBR50,GBR50,GBR,0.0106,0.0122,-0.005,-0.0043,0.0155,0.0021,0.0023,0.0027,0.0135,-0.0067
GBR51,GBR51,GBR,0.0106,0.0108,-0.0053,-0.0018,0.0146,0.0078,-0.0004,0.014,0.0066,-0.0277
GBR52,GBR52,GBR,0.01,0.0109,-0.0058,-0.0041,0.0197,0.0062,0.0007,0.0084,0.0037,-0.0226
GBR53,GBR53,GBR,0.0101,0.0102,-0.0053,-0.0012,0.0165,0.0061,-0.0006,0.0098,0.0275,0.0082
GBR54,GBR54,GBR,0.0101,0.0114,-0.0054,-0.0035,0.0148,0.0042,0.001,0.0116,0.0218,-0.0127
GBR55,GBR55,GBR,0.0103,0.0115,-0.0053,-0.0032,0.0188,0.008,-0.0004,0.0099,0.0198,-0.0036
FIN1,FIN1,FIN,0.0105,0.0069,-0.0062,-0.0006,0.0838,0.0213,0.0004,-0.0316,-0.0626,-0.0039
FIN2,FIN2,FIN,0.0103,0.0073,-0.0054,0.0003,0.0764,0.0206,0.0007,-0.0347,-0.0436,0.0372
FIN3,FIN3,FIN,0.0103,0.0086,-0.0063,-0.002,0.0596,0.0151,0.0019,-0.0191,-0.0398,-0.0065
FIN4,FIN4,FIN,0.01,0.0071,-0.006,-0.0006,0.072,0.0221,-0.0003,-0.0346,-0.0397,0.0368
FIN5,FIN5,FIN,0.0099,0.0065,-0.0059,0,0.0776,0.018,0.0027,-0.0383,-0.0524,0.0148
FIN6,FIN6,FIN,0.0101,0.0078,-0.0052,-0.0019,0.0699,0.0159,0.0003,-0.0237,-0.042,0.0009
FIN7,FIN7,FIN,0.0101,0.007,-0.0051,-0.001,0.0742,0.0205,0.0001,-0.0312,-0.0369,0.0161
FIN8,FIN8,FIN,0.0099,0.0074,-0.0047,-0.0012,0.0708,0.0216,-0.0016,-0.0257,-0.039,0.0064
FIN9,FIN9,FIN,0.0092,0.0082,-0.0038,-0.0031,0.0462,0.0106,-0.0009,-0.0255,-0.0522,0.0043
FIN10,FIN10,FIN,0.0095,0.0069,-0.0055,0.0011,0.0749,0.0219,0.0027,-0.0295,-0.037,0.0393
FIN11,FIN11,FIN,0.0101,0.0072,-0.0043,-0.0007,0.077,0.02,0.0009,-0.0267,-0.053,0.0018
FIN12,FIN12,FIN,0.0099,0.0064,-0.0051,-0.0015,0.0818,0.0233,-0.0044,-0.0299,-0.0519,0.0175
FIN13,FIN13,FIN,0.0101,0.0074,-0.0055,-0.0006,0.078,0.0214,-0.0004,-0.035,-0.0489,0.0205
FIN14,FIN14,FIN,0.0094,0.0071,-0.0062,-0.0006,0.0799,0.0213,0.0027,-0.0381,-0.0547,0.0464
FIN15,FIN15,FIN,0.01,0.0079,-0.0046,-0.0008,0.0708,0.0147,0.0013,-0.027,-0.0364,0.0354
FIN16,FIN16,FIN,0.0099,0.007,-0.006,-0.0014,0.0672,0.0169,-0.0012,-0.023,-0.0489,-0.0018
FIN17,FIN17,FIN,0.0098,0.0086,-0.004,-0.002,0.059,0.018,0.0027,-0.0164,-0.0413,-0.016
GBR56,GBR56,GBR,0.0102,0.0111,-0.0041,-0.0029,0.0103,0.0042,-0.0003,0.0112,0.0175,-0.0238
GBR57,GBR57,GBR,0.0104,0.0119,-0.004,-0.0021,0.0152,0.0024,0.0043,0.0172,0.0179,-0.0456
GBR58,GBR58,GBR,0.0096,0.0118,-0.0048,-0.0045,0.0105,0.0075,0.0034,0.0065,0.0198,-0.0005
GBR59,GBR59,GBR,0.0104,0.0113,-0.004,-0.0042,0.0129,0.0049,0.0005,0.0068,0.0093,-0.0351
GBR60,GBR60,GBR,0.0101,0.0113,-0.0054,-0.0049,0.0139,0.0067,0.0041,0.0101,0.0154,-0.0279
GBR61,GBR61,GBR,0.01,0.0119,-0.0057,-0.0041,0.0128,0.0028,0.0031,0.0049,0.0232,-0.0057
GBR62,GBR62,GBR,0.01,0.0111,-0.0044,-0.0042,0.0147,0.0059,0.0027,0.0086,0.0185,-0.0051
GBR63,GBR63,GBR,0.0099,0.0108,-0.004,-0.0029,0.0133,0.0076,-0.0006,0.0133,0.0257,-0.0129
GBR64,GBR64,GBR,0.0101,0.012,-0.004,-0.0038,0.0186,0.007,0.0045,0.0089,0.0037,-0.0278
GBR65,GBR65,GBR,0.0101,0.0109,-0.0046,-0.0028,0.0138,0.009,0.0018,0.0099,0.0215,-0.0125
GBR66,GBR66,GBR,0.01,0.0112,-0.0056,-0.0021,0.0147,0.0058,0.0017,0.0072,0.0295,0.0152
GBR67,GBR67,GBR,0.0104,0.0113,-0.0044,-0.0029,0.015,0.004,-0.0002,0.0141,0.021,-0.0143
GBR68,GBR68,GBR,0.0101,0.0116,-0.0048,-0.0029,0.009,0.0065,-0.0001,0.0091,0.009,-0.0317
GBR69,GBR69,GBR,0.0099,0.0113,-0.0055,-0.0042,0.0163,0.0068,-0.0023,0.0043,0.0153,-0.0031
GBR70,GBR70,GBR,0.0101,0.011,-0.0048,-0.0029,0.0117,0.0042,-0.0014,0.0059,0.0081,-0.004
GBR71,GBR71,GBR,0.0103,0.011,-0.0041,-0.003,0.0157,0.0073,0.0039,0.0125,0.0351,0.0152
GBR72,GBR72,GBR,0.0102,0.0112,-0.0039,-0.0028,0.0103,0.0028,0.0024,0.0114,0.0276,-0.0085
GBR73,GBR73,GBR,0.0101,0.0112,-0.0055,-0.0045,0.0178,0.0054,-0.0005,0.0073,0.0108,-0.0281
GBR74,GBR74,GBR,0.0104,0.012,-0.0054,-0.0038,0.0145,0.0041,-0.0017,0.0171,0.0138,-0.0388
GBR75,GBR75,GBR,0.0098,0.0112,-0.0045,-0.0039,0.0098,0.0071,0.0007,0.0076,0.0147,-0.01
GBR76,GBR76,GBR,0.0101,0.0111,-0.005,-0.003,0.014,0.0093,0.0013,0.0098,0.0219,-0.0051
GBR77,GBR77,GBR,0.0105,0.0114,-0.0043,-0.0044,0.018,0.0074,-0.0024,0.0112,0.0212,-0.0117
GBR78,GBR78,GBR,0.0099,0.0113,-0.0048,-0.0023,0.0165,0.0043,-0.0037,0.008,0.0196,0.0002
GBR79,GBR79,GBR,0.0103,0.0113,-0.0063,-0.0046,0.0166,0.0066,0.0044,0.0087,0.0036,-0.027
GBR80,GBR80,GBR,0.0102,0.0116,-0.0047,-0.0044,0.0122,0.0046,0.0035,0.0108,0.0226,-0.0118
GBR81,GBR81,GBR,0.0104,0.0116,-0.0055,-0.0034,0.0184,0.0091,0.0008,0.0023,0.0195,0.0124
GBR82,GBR82,GBR,0.0102,0.0114,-0.0052,-0.0039,0.0107,0.0036,0.0053,0.0108,0.0154,-0.0318
GBR83,GBR83,GBR,0.0105,0.0112,-0.0039,-0.0032,0.0148,0.0099,0.0058,0.0153,0.0245,-0.0029
GBR84,GBR84,GBR,0.0106,0.0114,-0.0041,-0.0036,0.0104,0.0062,0.0026,0.0107,0.0266,-0.0015
GBR85,GBR85,GBR,0.0101,0.0113,-0.0056,-0.0026,0.0139,0.0069,-0.0018,0.008,0.0276,-0.0048
GBR86,GBR86,GBR,0.0107,0.0117,-0.0052,-0.0033,0.0167,0.0094,0.0021,0.0187,0.0293,-0.0341
FIN18,FIN18,FIN,0.0097,0.0074,-0.0055,-0.0018,0.0718,0.0212,0.005,-0.0361,-0.0508,0.0224
FIN19,FIN19,FIN,0.0099,0.0069,-0.0047,-0.0021,0.0795,0.0223,-0.0002,-0.0305,-0.0468,0.0157
FIN20,FIN20,FIN,0.01,0.0081,-0.0053,-0.0025,0.0665,0.0204,0.0004,-0.0197,-0.0409,-0.0102
FIN21,FIN21,FIN,0.0101,0.0077,-0.0047,0,0.0829,0.0234,0.0036,-0.0337,-0.041,0.0369
FIN22,FIN22,FIN,0.0099,0.0066,-0.0045,-0.002,0.0881,0.023,0.0024,-0.0339,-0.0629,0.0186
FIN23,FIN23,FIN,0.0095,0.0067,-0.0037,-0.0013,0.0811,0.0273,0.0015,-0.0332,-0.0544,0.0233
FIN24,FIN24,FIN,0.0101,0.0077,-0.0062,-0.0026,0.0627,0.0166,-0.0013,-0.0245,-0.0365,0.024
FIN25,FIN25,FIN,0.0107,0.0085,-0.006,-0.0015,0.0709,0.0197,0.0014,-0.0241,-0.0501,-0.015
FIN26,FIN26,FIN,0.0101,0.0086,-0.0059,-0.0033,0.0623,0.0201,0.0049,-0.0181,-0.0392,0.0168
FIN27,FIN27,FIN,0.0096,0.0075,-0.0058,0.0003,0.0771,0.0168,0.0047,-0.0333,-0.0633,-0.0077
FIN28,FIN28,FIN,0.0103,0.0088,-0.0043,-0.0018,0.0573,0.017,-0.0015,-0.008,-0.03,-0.0204
FIN29,FIN29,FIN,0.0098,0.0076,-0.0041,-0.0005,0.0762,0.021,0.0068,-0.0344,-0.0562,0.0159
FIN30,FIN30,FIN,0.0101,0.0075,-0.0053,-0.0013,0.075,0.0226,0.0024,-0.0262,-0.0391,0.0288
FIN31,FIN31,FIN,0.0103,0.0074,-0.0061,0.0003,0.0733,0.0221,0.0017,-0.0272,-0.0398,0.0336
FIN32,FIN32,FIN,0.0098,0.0071,-0.0052,-0.0025,0.0791,0.018,0.0019,-0.0295,-0.043,0.0155
FIN33,FIN33,FIN,0.0104,0.0078,-0.0048,-0.0017,0.0738,0.0207,-0.0001,-0.0241,-0.0345,0.0286
FIN34,FIN34,FIN,0.01,0.0068,-0.0051,-0.0018,0.083,0.0237,-0.0029,-0.0346,-0.065,-0.0104
FIN35,FIN35,FIN,0.01,0.0071,-0.0036,0.0003,0.0833,0.0197,0.0025,-0.0408,-0.0691,-0.0018
FIN36,FIN36,FIN,0.0103,0.0067,-0.0044,0.0004,0.0856,0.0237,0.0042,-0.0377,-0.0555,0.025
FIN37,FIN37,FIN,0.0098,0.0076,-0.0048,-0.0011,0.0828,0.0237,0.0032,-0.034,-0.0587,0.0293
FIN38,FIN38,FIN,0.0102,0.0087,-0.0034,-0.0018,0.0662,0.016,0.004,-0.0137,-0.0272,-0.015
FIN39,FIN39,FIN,0.01,0.0072,-0.0059,-0.001,0.0718,0.0238,0.0031,-0.0256,-0.0486,0.0182
FIN40,FIN40,FIN,0.0099,0.0073,-0.0066,-0.0008,0.0753,0.0209,0.0001,-0.0258,-0.0448,0.0013
FIN41,FIN41,FIN,0.0103,0.0083,-0.0059,-0.0018,0.0674,0.0169,0.0009,-0.0149,-0.0366,-0.0155
FIN42,FIN42,FIN,0.0105,0.009,-0.0067,-0.0018,0.0541,0.0195,0,-0.0148,-0.0296,-0.0131
FIN43,FIN43,FIN,0.0098,0.0071,-0.0063,-0.001,0.0788,0.0211,0.0012,-0.0352,-0.0536,0.0226
FIN44,FIN44,FIN,0.01,0.0074,-0.0057,0.0001,0.0702,0.0212,0.002,-0.0289,-0.0416,0.0194
FIN45,FIN45,FIN,0.0102,0.0081,-0.0055,-0.0016,0.0727,0.0178,0.0016,-0.0263,-0.0187,0.0363
FIN46,FIN46,FIN,0.01,0.0072,-0.0051,-0.0012,0.076,0.0224,0.0047,-0.0277,-0.0282,0.0338
FIN47,FIN47,FIN,0.01,0.0079,-0.006,-0.0011,0.0651,0.0229,0.0016,-0.0274,-0.04,-0.0064
FIN48,FIN48,FIN,0.0102,0.0067,-0.0057,0.0001,0.0704,0.0243,0.0044,-0.0328,-0.0478,0.0148
FIN49,FIN49,FIN,0.0102,0.0074,-0.0056,-0.0014,0.0843,0.0261,0.0005,-0.0285,-0.0664,0.0017
FIN50,FIN50,FIN,0.0098,0.0075,-0.0062,-0.0002,0.0849,0.0212,-0.0037,-0.0367,-0.0713,0.0006
FIN51,FIN51,FIN,0.0105,0.0061,-0.0062,-0.001,0.0876,0.0268,-0.0006,-0.0333,-0.0543,0.0108
FIN52,FIN52,FIN,0.0102,0.0076,-0.0063,-0.0005,0.0773,0.0185,0.0061,-0.031,-0.041,0.0049
FIN53,FIN53,FIN,0.0102,0.0072,-0.005,-0.0011,0.0743,0.0208,-0.0014,-0.0362,-0.0293,0.0373
FIN54,FIN54,FIN,0.0103,0.0081,-0.0054,0,0.0707,0.0201,0.0014,-0.0256,-0.0361,0.0393
FIN55,FIN55,FIN,0.0103,0.0083,-0.0043,-0.0012,0.064,0.0176,-0.0021,-0.0237,-0.0363,0.0419
FIN56,FIN56,FIN,0.0099,0.0077,-0.0065,-0.0015,0.0683,0.0185,0.0014,-0.025,-0.0295,0.0048
FIN57,FIN57,FIN,0.0101,0.0083,-0.006,-0.0004,0.0678,0.0175,0.0002,-0.0226,-0.0169,0.0271
FIN58,FIN58,FIN,0.01,0.0074,-0.0047,-0.0008,0.065,0.0195,0.0023,-0.0176,-0.0296,0.0184
FIN59,FIN59,FIN,0.0101,0.0089,-0.0063,-0.0005,0.0676,0.0199,-0.0001,-0.0229,-0.0383,0.0114
FIN60,FIN60,FIN,0.0102,0.0079,-0.0064,-0.0017,0.0712,0.0204,0.0014,-0.0259,-0.0291,0.0324
FIN61,FIN61,FIN,0.01,0.0073,-0.0046,-0.0012,0.0756,0.015,0.0037,-0.0339,-0.0495,0.0091
FIN62,FIN62,FIN,0.0102,0.009,-0.0064,-0.0024,0.0627,0.0159,0.0016,-0.0212,-0.0362,-0.0164
FIN63,FIN63,FIN,0.0098,0.0081,-0.0057,-0.0026,0.0752,0.0238,0.0003,-0.0262,-0.0303,0.0402
FIN64,FIN64,FIN,0.0102,0.007,-0.0051,-0.0022,0.0697,0.0191,0.0011,-0.0208,-0.0335,0.0069
FIN65,FIN65,FIN,0.0094,0.008,-0.0029,-0.0012,0.0476,0.0125,0.0028,-0.0212,-0.0453,-0.0083
FIN66,FIN66,FIN,0.0102,0.0069,-0.0057,-0.0017,0.0823,0.0219,0.0046,-0.031,-0.0491,0.0197
FIN67,FIN67,FIN,0.0098,0.0077,-0.0062,-0.0014,0.0792,0.0218,0.0025,-0.0313,-0.0439,0.0231
FIN68,FIN68,FIN,0.0103,0.0091,-0.0041,-0.0034,0.0468,0.0121,0.0034,-0.0072,-0.0222,-0.0228
FIN69,FIN69,FIN,0.0101,0.0076,-0.0058,-0.0017,0.0751,0.0194,-0.0024,-0.0267,-0.0268,0.0415
FIN70,FIN70,FIN,0.0102,0.008,-0.0063,-0.0003,0.0652,0.0214,0.0014,-0.0272,-0.0361,0.0118
FIN71,FIN71,FIN,0.0101,0.007,-0.005,-0.0021,0.0816,0.0209,-0.0004,-0.0195,-0.0524,-0.0074
FIN72,FIN72,FIN,0.0101,0.0097,-0.0061,-0.0027,0.0491,0.0155,0.0022,-0.0105,-0.0101,0.0067
FIN73,FIN73,FIN,0.0099,0.0078,-0.0063,-0.0012,0.0768,0.0204,0.0034,-0.029,-0.0524,0.0157
FIN74,FIN74,FIN,0.0103,0.0076,-0.0054,-0.0023,0.0728,0.0254,0.0017,-0.0328,-0.0512,-0.0029
FIN75,FIN75,FIN,0.0106,0.0085,-0.0052,-0.0012,0.0653,0.0152,0.0017,-0.0169,-0.0463,-0.0168
FIN76,FIN76,FIN,0.01,0.0082,-0.0064,-0.0009,0.0748,0.0192,0.0018,-0.0254,-0.0336,0.0102
FIN77,FIN77,FIN,0.0105,0.0081,-0.0054,-0.0014,0.0691,0.0179,0.0038,-0.0313,-0.0359,0.0373
FIN78,FIN78,FIN,0.0099,0.007,-0.0063,0.0003,0.0921,0.0291,-0.0037,-0.0414,-0.0593,0.0374
FIN79,FIN79,FIN,0.01,0.0084,-0.0039,-0.002,0.0695,0.0224,-0.0016,-0.0215,-0.0523,-0.0181
FIN80,FIN80,FIN,0.0101,0.0065,-0.0049,-0.0004,0.0882,0.0211,0.0001,-0.0374,-0.0488,0.0478
FIN81,FIN81,FIN,0.0098,0.0076,-0.0049,-0.0009,0.0726,0.0209,0.0008,-0.0176,-0.0203,0.0031
FIN82,FIN82,FIN,0.0102,0.0074,-0.0067,-0.0012,0.0741,0.0209,-0.0037,-0.0247,-0.042,0.0252
FIN83,FIN83,FIN,0.0099,0.007,-0.0049,-0.0007,0.083,0.0227,0.0017,-0.0345,-0.0618,0.0092
FIN84,FIN84,FIN,0.0098,0.0071,-0.0042,0.0005,0.0726,0.0238,0.0035,-0.029,-0.0464,0.0133
FIN85,FIN85,FIN,0.0101,0.007,-0.0064,-0.0006,0.0686,0.018,0.0022,-0.0256,-0.0498,-0.0064
FIN86,FIN86,FIN,0.0099,0.0067,-0.0055,0,0.0928,0.0283,0.0029,-0.0429,-0.0664,0.0081
FIN87,FIN87,FIN,0.0102,0.0071,-0.0046,-0.0002,0.0787,0.0273,-0.0003,-0.0336,-0.0478,0.0343
FIN88,FIN88,FIN,0.01,0.0073,-0.0044,-0.0017,0.0708,0.0212,-0.0004,-0.022,-0.0324,0.0315
FIN89,FIN89,FIN,0.0107,0.008,-0.0046,-0.0015,0.0723,0.0189,0.0018,-0.0208,-0.0388,0.0157
FIN90,FIN90,FIN,0.0103,0.0062,-0.0055,0.0008,0.0803,0.023,0.0006,-0.0302,-0.0633,-0.0049
FIN91,FIN91,FIN,0.01,0.0078,-0.0057,-0.0016,0.0757,0.0232,0.0002,-0.0374,-0.0509,0.0195
FIN92,FIN92,FIN,0.0105,0.0087,-0.0047,-0.0017,0.0657,0.0146,0.0019,-0.023,-0.0203,0.0328
FIN93,FIN93,FIN,0.0102,0.0075,-0.006,-0.0015,0.0785,0.0233,-0.0008,-0.0266,-0.0435,0.0072
FIN94,FIN94,FIN,0.0101,0.0077,-0.0037,-0.0006,0.073,0.0232,-0.0012,-0.0304,-0.0468,-0.0061
FIN95,FIN95,FIN,0.0098,0.0095,-0.0052,-0.0026,0.0573,0.0176,0.0015,-0.0096,-0.0186,-0.0161
FIN96,FIN96,FIN,0.0108,0.0083,-0.0053,-0.0025,0.073,0.0233,0.0002,-0.0276,-0.0323,0.0425
FIN97,FIN97,FIN,0.0096,0.0072,-0.0053,-0.0008,0.0843,0.0217,-0.0013,-0.0296,-0.0544,0.0153
FIN98,FIN98,FIN,0.0099,0.0073,-0.006,-0.0018,0.0848,0.023,0.0014,-0.0389,-0.0592,0.0313
FIN99,FIN99,FIN,0.0106,0.0077,-0.0055,-0.0016,0.0725,0.0222,0.0002,-0.0344,-0.0454,0.0099
CHS1,CHS1,CHS,0.0028,-0.0371,-0.0132,-0.0135,0.0021,-0.0016,-0.0003,-0.0041,-0.0007,0.0048
CHS2,CHS2,CHS,0.0034,-0.0373,-0.014,-0.0136,-0.0005,-0.0015,0.0011,0.0035,-0.0027,0.003
CHS3,CHS3,CHS,0.003,-0.0377,-0.0128,-0.0159,-0.0043,0.0018,-0.0027,-0.003,-0.0016,-0.0074
CHS4,CHS4,CHS,0.0032,-0.0372,-0.0126,-0.0155,-0.0029,0.0048,0.0008,0.003,0.0025,0.0033
CHS5,CHS5,CHS,0.0034,-0.0375,-0.0148,-0.0146,-0.0013,-0.0016,0.0001,-0.0046,-0.0017,0.0032
CHS6,CHS6,CHS,0.0033,-0.0368,-0.0129,-0.0153,0.001,-0.0018,-0.0019,0.0009,0.0006,0.0011
CHS7,CHS7,CHS,0.0031,-0.0376,-0.0135,-0.0138,-0.0029,0.0022,0.0006,0,0.0025,-0.0105
CHS8,CHS8,CHS,0.0031,-0.0377,-0.0127,-0.0148,0.0014,-0.0015,0.0024,0.0004,0.002,0.0016
CHS9,CHS9,CHS,0.0033,-0.0377,-0.0145,-0.0152,-0.0036,0.0029,0.0017,0.0007,0.0013,0.0001
CHS10,CHS10,CHS,0.0035,-0.0377,-0.0138,-0.0141,-0.0032,0.0003,0.0004,-0.0021,0.0044,0.0021
CHS11,CHS11,CHS,0.003,-0.0376,-0.0151,-0.0135,-0.0043,0.0022,0.0009,-0.0032,0.0052,0.0021
CHS12,CHS12,CHS,0.0034,-0.0375,-0.0134,-0.0152,-0.0013,-0.0004,0.0031,-0.0014,-0.0001,0.0034
CHS13,CHS13,CHS,0.0033,-0.0378,-0.0139,-0.0153,-0.0016,0.0042,-0.001,0.0013,0.0084,0.0017
CHS14,CHS14,CHS,0.0034,-0.0369,-0.0128,-0.0137,-0.001,0.0019,0.0031,-0.0004,-0.0001,0.0003
CHS15,CHS15,CHS,0.0034,-0.037,-0.0132,-0.0153,0.0009,0.0004,-0.0009,-0.004,0.0028,0.0021
CHS16,CHS16,CHS,0.0033,-0.0375,-0.0134,-0.0139,-0.0013,-0.0018,-0.0015,0,0.0002,-0.008
CHS17,CHS17,CHS,0.0031,-0.0372,-0.0133,-0.0127,-0.0031,0.0026,0.001,0.0005,-0.0044,-0.0017
CHS18,CHS18,CHS,0.003,-0.0371,-0.0144,-0.0151,0.0007,-0.0012,0.0009,-0.0011,0.0014,-0.0011
CHS19,CHS19,CHS,0.0032,-0.0376,-0.0144,-0.0151,-0.0017,-0.0005,0.0019,0.002,0.0009,0.0056
CHS20,CHS20,CHS,0.003,-0.0372,-0.0143,-0.0148,-0.0012,0.0003,-0.0024,-0.0026,0.0012,-0.0003
CHS21,CHS21,CHS,0.0032,-0.0374,-0.0131,-0.0157,-0.0047,0.0027,0.003,-0.0033,0.0029,-0.0037
CHS22,CHS22,CHS,0.0032,-0.0373,-0.0142,-0.0147,0,-0.0007,0.0009,-0.0011,0.0059,-0.0046
CHS23,CHS23,CHS,0.0031,-0.0374,-0.0142,-0.0149,0.0026,0.001,-0.0004,0,0.003,0.0035
