FID,IID,POPULATION,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10
KHV89,KHV89,KHV,0.0027,-0.0358,-0.0083,-0.016,-0.013,0.036,-0.0031,-0.0024,-0.0036,0.0033
KHV90,KHV90,KHV,0.0033,-0.0369,-0.0106,-0.0171,-0.0123,0.0372,-0.0003,0.0011,0.0009,0.0076
KHV91,KHV91,KHV,0.003,-0.0362,-0.0109,-0.0167,-0.0134,0.0408,-0.0026,-0.0033,-0.0061,0.0016
KHV92,KHV92,KHV,0.0032,-0.0362,-0.0115,-0.0154,-0.0139,0.0368,-0.0026,0.0047,-0.0023,-0.0093
KHV93,KHV93,KHV,0.0032,-0.0361,-0.0103,-0.0158,-0.0132,0.0303,-0.0014,0.0068,0.0035,-0.0067
KHV94,KHV94,KHV,0.0032,-0.0366,-0.01,-0.0178,-0.0138,0.034,0.0009,-0.0055,-0.002,0.0087
KHV95,KHV95,KHV,0.0038,-0.0321,-0.0094,-0.0139,-0.0128,0.0311,-0.0018,0.0007,-0.002,-0.0015
ACB34,ACB34,ACB,-0.0281,0.006,-0.0013,-0.001,0.0025,0.0031,0,0.0169,-0.003,-0.004
ACB35,ACB35,ACB,-0.0337,0.0052,-0.0022,-0.0015,0.0056,0.0044,-0.0026,0.0183,-0.0084,-0.0006
PEL58,PEL58,PEL,0.0062,-0.0206,-0.0196,0.0932,0.0037,0.0099,0.0026,0.0139,0.0273,0.0014
PEL59,PEL59,PEL,0.0063,-0.022,-0.0207,0.0982,0.0072,0.0087,-0.0019,0.0102,0.0129,-0.0061
PEL60,PEL60,PEL,0.0064,-0.0228,-0.0201,0.1033,0.0089,0.0092,0.0013,0.0059,0.0224,0.0017
CDX38,CDX38,CDX,0.0028,-0.0363,-0.0107,-0.0169,-0.0163,0.0535,0.0021,-0.0035,-0.0073,0.0041
CDX39,CDX39,CDX,0.0032,-0.0368,-0.0108,-0.0157,-0.0171,0.0533,0.0015,-0.0021,-0.003,0.0004
CDX40,CDX40,CDX,0.0031,-0.0364,-0.01,-0.0161,-0.0147,0.0485,0.0009,-0.0066,-0.0023,0.0036
CDX41,CDX41,CDX,0.0033,-0.0373,-0.012,-0.0158,-0.0204,0.0473,-0.0049,0.0014,-0.0018,-0.0007
